MQ2,MQ3,MQ5,MQ6,MQ7,MQ8,MQ135,label,timestamp
234.9,118.47,101.72,208.63,18.59,424.65,102.13,No Gas,2024-01-01 00:00:00
721.66,353.33,238.93,335.98,27.29,618.96,212.42,Combined,2024-01-01 00:00:02
275.48,209.36,168.39,77.54,4.7,189.85,282.02,Perfume,2024-01-01 00:00:04
540.34,76.23,286.08,220.45,21.72,391.24,116.8,Smoke,2024-01-01 00:00:06
181.68,54.57,66.41,150.14,15.09,313.09,87.48,No Gas,2024-01-01 00:00:08
203.51,138.42,105.2,120.45,18.14,305.85,32.85,No Gas,2024-01-01 00:00:10
98.09,116.63,72.03,192.86,10.99,328.8,108.55,No Gas,2024-01-01 00:00:12
558.51,326.79,461.49,235.81,104.61,727.86,368.14,Combined,2024-01-01 00:00:14
370.14,434.57,114.83,175.57,20.69,334.99,163.86,Perfume,2024-01-01 00:00:16
214.15,596.21,215.53,103.14,21.24,243.65,257.08,Perfume,2024-01-01 00:00:18
104.67,69.63,151.45,92.59,12.1,160.02,54.17,No Gas,2024-01-01 00:00:20
576.52,385.49,309.15,488.1,27.73,383.03,131.11,Combined,2024-01-01 00:00:22
957.73,117.94,420.2,470.5,21.04,508.35,339.87,Combined,2024-01-01 00:00:24
165.97,181.93,130.52,172.49,7.07,283.43,59.0,No Gas,2024-01-01 00:00:26
276.27,89.71,123.72,209.36,14.01,375.02,110.06,No Gas,2024-01-01 00:00:28
175.96,91.39,160.43,95.63,5.42,120.4,89.0,No Gas,2024-01-01 00:00:30
158.86,76.58,199.76,125.75,18.31,297.9,72.41,No Gas,2024-01-01 00:00:32
444.9,186.21,507.27,298.5,34.48,435.62,79.72,Smoke,2024-01-01 00:00:34
1235.25,120.25,476.56,132.88,72.43,178.78,219.9,Smoke,2024-01-01 00:00:36
272.41,173.05,119.63,146.81,8.09,117.7,52.43,No Gas,2024-01-01 00:00:38
304.73,298.21,179.11,243.31,14.1,215.05,455.57,Perfume,2024-01-01 00:00:40
110.61,70.07,213.46,112.63,25.65,139.13,99.72,No Gas,2024-01-01 00:00:42
